epoch,train_loss,val_loss,accuracy,weighted_precision,weighted_recall,weighted_f1,is_best
1,2.1102645346706774,1.5492646805247905,0.7541812524309607,0.7423487323063661,0.7541812524309607,0.7436481616037792,True
2,1.1114633095639794,0.9267373793984052,0.7180085569817192,0.7892843494602171,0.7180085569817192,0.7356133997937235,False
3,0.5601378989918613,0.6401667342237805,0.7996888370283937,0.8290307730250228,0.7996888370283937,0.8076010338251518,True
4,0.3379554093191471,0.6202285215258598,0.7957992998833139,0.8518972984512178,0.7957992998833139,0.808635434204389,True
5,0.24023467847970228,0.5018885460051691,0.85219758848697,0.8657251290095948,0.85219758848697,0.8557670989680669,True
6,0.17855849991937803,0.4753501849503528,0.8623103850641773,0.8732611692691326,0.8623103850641773,0.8647775375484805,True
7,0.1317350698167804,0.4979199699317076,0.8615324776351614,0.8742198537000283,0.8615324776351614,0.8645501281157985,False
8,0.11113091856524364,0.5289749124879886,0.8568650330610658,0.8721592746175302,0.8568650330610658,0.8615664674462868,False
